"X2","X3","X4","X5","X6","X7","X8","X9","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Opisthokonta","Fungi","Microsporidiomycota","Microsporidiomycotina","Microsporidiomycotina_X","Nosema","Nosema_bombycis","Eukaryota","Opisthokonta","Fungi","Microsporidiomycota","Microsporidiomycotina","Microsporidiomycotina_X","Nosema",NA
"Eukaryota","Opisthokonta","Fungi","Fungi_X","Fungi_XX","Fungi_XXX","Fungi_XXXX","Fungi_XXXX_sp.","Eukaryota","Opisthokonta","Fungi",NA,NA,NA,NA,NA
"Eukaryota","Amoebozoa","Conosa","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba","Mastigamoeba_errans","Eukaryota","Amoebozoa","Conosa","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Cribrariaceae","Lindbladia","Lindbladia_tubulina","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Cribrariaceae","Lindbladia",NA
"Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes","Thraustochytriales","Thraustochytriaceae","Thraustochytrium","Thraustochytrium_gaertnerium","Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes","Thraustochytriales","Thraustochytriaceae","Thraustochytrium",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Tubiferaceae","Tubifera","Tubifera_dimorphotheca","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Tubiferaceae","Tubifera",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Meriderma","Meriderma_cribrarioides","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Meriderma",NA
"Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Carpediomonas-like","Kipferlia","Kipferlia_bialata","Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Carpediomonas-like","Kipferlia",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida_X","Dictyostelium","Dictyostelium_polycarpum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida_X","Dictyostelium",NA
"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_sp.","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes",NA,NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Symbiontida","Symbiontida_X","Symbiontida_XX","Symbiontida_XX_sp.","Eukaryota","Excavata","Discoba","Euglenozoa","Symbiontida",NA,NA,NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Euglenales","Euglena","Euglena_adhaerens","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Euglenales","Euglena",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida-Group-III","Dictyostelium-Group-III","Dictyostelium_menorum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida_X","Dictyostelium",NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Astasia","Astasia_torta","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Astasia",NA
"Eukaryota","Amoebozoa","Lobosa","Discosea-Flabellinia","Dactylopodida","Paramoebidae","Neoparamoeba","Neoparamoeba_perurans","Eukaryota","Amoebozoa","Lobosa","Discosea-Flabellinia","Dactylopodida","Paramoebidae","Neoparamoeba",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Didymiaceae","Lepidoderma","Lepidoderma_carestianum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Didymiaceae","Lepidoderma",NA
"Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Oenothera","Oenothera_berteroana","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Oenothera",NA
"Eukaryota","Amoebozoa","Conosa","Archamoebea","Archamoebea_X","Entamoebidae","Entamoeba","Entamoeba_sp.","Eukaryota","Amoebozoa","Conosa","Archamoebea","Archamoebea_X","Entamoebidae","Entamoeba",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida-Group-II","Acytostelium","Acytostelium_digitatum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida-Group-II","Acytostelium",NA
"Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Centramoebida","Endostelium-lineage","Endostelium","Endostelium_crystalliferum","Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Centramoebida","Endostelium-lineage","Endostelium",NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Menoidium","Menoidium_gibbum","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Menoidium",NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Euglenales","Rapaza","Rapaza_viridis","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Euglenales","Rapaza",NA
"Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Retortamonadida","Retortamonas","Retortamonas_sp.","Eukaryota","Excavata","Metamonada","Fornicata","Fornicata_X","Retortamonadida","Retortamonas",NA
"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Pezizomycotina_X","Scytalidium","Scytalidium_thermophilum","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Pezizomycotina_X","Scytalidium",NA
"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Hydropunctaria","Hydropunctaria_adriatica","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Hydropunctaria",NA
"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Pezizomycotina_X","Dictyocatenulata","Dictyocatenulata_alba","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Pezizomycotina_X","Dictyocatenulata",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Liceaceae","Licea","Licea_marginata","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Liceaceae","Licea",NA
"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Malacostraca","Haplophthalmus","Haplophthalmus_danicus","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Malacostraca","Haplophthalmus",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Colloderma","Colloderma_robustum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Colloderma",NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Cryptogregarinorida","Cryptosporidiidae","Cryptosporidium1","Cryptosporidium1_parvum","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Cryptogregarinorida","Cryptosporidiidae","Cryptosporidium1",NA
