"","x"
"256","Morganellaceae"
"257","Neisseriaceae"
"258","Clade_II"
"259","Solimonadaceae"
"260","Arcobacteraceae"
"261","OCS116_clade"
"262","SAR116_clade"
"263","Moraxellaceae"
"264","Rhodocyclaceae"
"265","Myxococcaceae"
"266","Haliangiaceae"
"267","Sandaracinaceae"
"268","Polyangiaceae"
"269","Bradymonadaceae"
"270","Aquaspirillaceae"
"271","Spongiibacteraceae"
"272","Alteromonadaceae"
"273","Idiomarinaceae"
"274","Nitrosomonadaceae"
"275","Erwiniaceae"
"276","Cellvibrionaceae"
"277","Aeromonadaceae"
"278","Francisellaceae"
"279","Xanthomonadaceae"
"280","Pasteurellaceae"
"281","Burkholderiaceae"
"282","Thiomicrospiraceae"
"283","Sulfurimonadaceae"
"284","Devosiaceae"
"285","Thermopetrobacteraceae"
"286","Methylophagaceae"
"287","Ectothiorhodospiraceae"
"288","Parvibaculaceae"
"289","Stappiaceae"
"290","Beijerinckiaceae"
"291","Hyphomicrobiaceae"
"292","Unknown_Family"
"293","Rhodospirillaceae"
"294","Rhizobiaceae"
"295","Clade_I"
"296","Nannocystaceae"
"297","Methyloligellaceae"
"298","Thalassospiraceae"
"299","Nisaeaceae"
"300","Xanthobacteraceae"
"301","Clade_IV"
"302","Mediophyceae_fa"
"303","Puniceicoccaceae"
"304","Blastocatellaceae"
"305","Thermoanaerobaculaceae"
"306","Arctic95B-14"
"307","Pedosphaeraceae"
"308","Rubritaleaceae"
"309","DEV007"
"310","Verrucomicrobiaceae"
"311","Lentisphaeraceae"
"312","Chattonellales_fa"
"313","Methanobacteriaceae"
"314","Gemmatimonadaceae"
"315","Longimicrobiaceae"
"316","Trichocomaceae"
"317","Rhizaspididae"
"318","Sporidiobolaceae"
"319","Incertae_Sedis_fa"
"320","Nephroselmidales_fa"
"321","Chlorodendrales_fa"
"322","Collodaria_fa"
"323","AB1"
"324","Peronosporomycetes_fa"
"325","Sarcinochrysidales_fa"
"326","Pedinellales_fa"
"327","Ochrophyta_fa"
"328","Fucales_fa"
"329","Bacillariophyceae_fa"
"330","Ectocarpales_fa"
"331","Prymnesiophyceae_fa"
"332","Ochromonadales_fa"
"333","Chromulinales_fa"
"334","Eustigmatales_fa"
"335","Marimonadida_fa"
"336","Dictyochales_fa"
"337","Aspergillaceae"
"338","Coscinodiscophytina_fa"
"339","Fragilariales_fa"
"340","Mamiellales_fa"
"341","Oikopleuridae"
"342","Prymnesiales_fa"
"343","Synurales_fa"
"344","Gymnodinium_clade"
"345","Thoracosphaeraceae"
"346","Gonyaulacales_fa"
"347","Syndiniales_fa"
"348","Ustilaginaceae"
"349","Granofilosea_fa"
"350","Malasseziaceae"
"351","Crepidotaceae"
"352","Geastraceae"
"353","Gomphaceae"
"354","Harrimaniidae"
"355","Chlorarachniophyta_fa"
"356","Lepismatidae"
