"","x"
"267","Ceratospyris"
"268","AT8-54"
"269","E84"
"270","Asp-05"
"271","Amphiacon"
"272","Amphibelone"
"273","Mychonastes"
"274","Homalogastra"
"275","Codonella"
"276","Codonellopsis"
"277","Amphorellopsis"
"278","Metacylis"
"279","Apostrombidium"
"280","Bromeliothrix"
"281","Platyophrya"
"282","Epistominella"
"283","Hemistasia"
"284","Colacogloea"
"285","Platyamoeba"
"286","Vannella"
"287","Planoprotostelium"
"288","Epistylis"
"289","Starmerella-Candida clade"
"290","Petalomonas"
"291","Ichthyobodo"
"292","Diplonema"
"293","Rhynchopus"
"294","Neobodo"
"295","Bodo"
"296","Rhynchomonas"
"297","Candidatus Nitrosopumilus"
"298","Candidatus Nitrosopelagicus"
"299","Candidatus Nitrosotenuis"
"300","Thermoplasmata_fa"
"301","Silvanigrellaceae"
"302","Fokiniaceae"
"303","Methanomethylophilaceae"
"304","Florenciellales_fa"
"305","Rhodobacteraceae"
"306","Coxiellaceae"
"307","4572-13"
"308","Isosphaeraceae"
"309","Scalinduaceae"
"310","Gemmataceae"
"311","Schlesneriaceae"
"312","Rubinisphaeraceae"
"313","Gimesiaceae"
"314","Pirellulaceae"
"315","Mitochondria"
"316","Holosporaceae"
"317","L21-RPul-D3"
"318","SM23-30"
"319","Phycisphaeraceae"
"320","WD2101 soil group"
"321","Nitrospinaceae"
"322","Desulfovibrionaceae"
"323","Caldatribacteriaceae"
"324","Nitrospiraceae"
"325","Oligoflexales_fa"
"326","Bdellovibrionaceae"
"327","Desulfobacteraceae"
"328","Desulfobulbaceae"
"329","Piscirickettsiaceae"
"330","Bacteriovoracaceae"
"331","Clade I"
"332","Desulfuromonadaceae"
"333","Xanthobacteraceae"
"334","Clade II"
"335","Sphingomonadaceae"
"336","Acetobacteraceae"
"337","Ruminococcaceae"
"338","Caloramatoraceae"
"339","Hyphomonadaceae"
"340","AEGEAN-169 marine group"
"341","Lactobacillaceae"
"342","Halomonadaceae"
"343","Clade III"
"344","Salinisphaeraceae"
"345","Myxococcaceae"
"346","Neisseriaceae"
"347","Morganellaceae"
"348","Eel-36e1D6"
"349","Solimonadaceae"
"350","Moraxellaceae"
"351","Arcobacteraceae"
"352","Actinomarinaceae"
"353","OCS116 clade"
"354","SAR116 clade"
"355","S25-593"
"356","Rhodocyclaceae"
"357","Anaeromyxobacteraceae"
"358","DEV007"
"359","Haliangiaceae"
"360","Sandaracinaceae"
"361","Nannocystaceae"
"362","Polyangiaceae"
"363","Aquaspirillaceae"
"364","Alcanivoracaceae1"
"365","Alteromonadaceae"
"366","Idiomarinaceae"
"367","Francisellaceae"
"368","Nitrosomonadaceae"
"369","Hafniaceae"
"370","Erwiniaceae"
"371","Pseudohongiellaceae"
"372","Spongiibacteraceae"
"373","Pasteurellaceae"
"374","Burkholderiaceae"
"375","BIrii41"
"376","Sulfurimonadaceae"
"377","Thermopetrobacteraceae"
"378","Parvibaculaceae"
"379","Rhizobiaceae"
"380","Beijerinckiaceae"
"381","Hyphomicrobiaceae"
"382","Unknown Family_3"
"383","Rhodospirillaceae"
"384","Devosiaceae"
"385","PS1 clade"
"386","SM2D12"
"387","Magnetospiraceae"
"388","Thalassospiraceae"
"389","Nisaeaceae"
"390","Labraceae"
"391","Clade IV"
"392","Mediophyceae_fa"
"393","Puniceicoccaceae"
"394","Vicinamibacteraceae"
"395","Blastocatellaceae"
"396","Thermoanaerobaculaceae"
"397","Bryobacteraceae"
"398","Pedosphaeraceae"
"399","Rubritaleaceae"
"400","Verrucomicrobiaceae"
"401","Arctic95B-14"
"402","Caulobacteraceae"
"403","Lentisphaeraceae"
"404","Chattonellales_fa"
"405","Methanobacteriaceae"
"406","Longimicrobiaceae"
"407","Gemmatimonadaceae"
"408","Capsasporidae"
"409","Protaspidae"
"410","Sporidiobolaceae"
"411","Abeoformidae_fa"
"412","Prymnesiales_fa"
"413","Eukaryota_fa"
"414","Chlorarachniophyta_fa"
"415","Picomonadidae_fa"
"416","Syndiniales_fa"
"417","Spumellaria_fa"
"418","Nephroselmidales_fa"
"419","Chlorodendrales_fa"
"420","Syndiniales Group II"
"421","Gymnodiniphycidae_fa"
"422","Syndiniales Group I"
"423","Cryptomonadales_fa"
"424","Tetramitia_fa"
"425","AB1"
"426","Diplonemea_fa"
"427","Peronosporomycetes_fa"
"428","Pelagomonadales_fa"
"429","Bicosoecida_fa"
"430","Bacillariophyceae_fa"
"431","Pedinellales_fa"
"432","Fucales_fa"
"433","Incertae Sedis_3_fa"
"434","Ectocarpales_fa"
"435","Prymnesiophyceae_fa"
"436","Ochromonadales_fa"
"437","Chromulinales_fa"
"438","Raphidophyceae_fa"
"439","Eustigmatales_fa"
"440","Dictyochales_fa"
"441","Aspergillaceae"
"442","Diatomea_fa"
"443","Fragilariales_fa"
"444","Mamiellales_fa"
"445","Oikopleuridae"
"446","Sarcinochrysidales_fa"
"447","Thoracosphaeraceae"
"448","Gymnodinium clade"
