"Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Marphysa",NA,"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Marphysa",NA
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Travisia","Travisia_pupa","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Travisia","Travisia_pupa"
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Sipunculus","Sipunculus_nudus","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Sipunculus","Sipunculus_nudus"
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Aricidea","Aricidea_wassi","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Aricidea","Aricidea_wassi"
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Dasybranchus",NA,"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Dasybranchus",NA
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Travisia","Travisia_brevis","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Travisia","Travisia_brevis"
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Scalibregma","Scalibregma_inflatum","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Scalibregma","Scalibregma_inflatum"
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Caulleriella","Caulleriella_parva","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Caulleriella","Caulleriella_parva"
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Terebellidae","Lysilla_sp.","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Terebellidae","Lysilla_sp."
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Polycirrus",NA,"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Polycirrus",NA
"Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Ophelina","Ophelina_sp.","Eukaryota","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Ophelina","Ophelina_sp."
