"","not.mapped"
"255","Novel Apicomplexa Class 1"
"256","RAD B"
"257","Dinoflagellata_cl"
"258","Katodinium"
"259","Thecate"
"260","Phalacroma"
"261","Conoidasida"
"262","Noctilucales_fa"
"263","Rhodymeniophycidae_fa"
"264","Rhodymeniophycidae_or"
"265","Rhodymeniophycidae"
"266","Corallinophycidae_fa"
"267","Corallinophycidae_or"
"268","Corallinophycidae"
"269","Selenidium"
"270","Archigregarinorida"
"271","Gregarinasina"
"272","AT8-54"
"273","E84"
"274","Asp-05"
"275","Holocanthida"
"276","Postciliodesmatophora"
"277","Rimostrombidium"
"278","IN2411"
"279","Foraminifera_or"
"280","Monhysterida"
"281","Hemistasia"
"282","Incertae Sedis_8_fa"
"283","Incertae Sedis_8"
"284","Platyamoeba"
"285","Vannellida_fa"
"286","Breviatea_fa"
"287","Breviatea_or"
"288","Breviatea_cl"
"289","Zoothamnium"
"290","SA1-3C06"
"291","Starmerella-Candida clade"
"292","Incertae Sedis_19"
"293","Heteronematina_fa"
"294","Heteronematina"
"295","Neobodonida_fa"
"296","Neobodonida"
"297","Trypanosomatida_fa"
"298","Trypanosomatida"
