"Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Alveolata","Ciliophora","Colpodea","Colpodea_X","Colpodida","Bresslaua","Bresslaua_vorax","Eukaryota","Alveolata","Ciliophora","Colpodea","Colpodea_X","Colpodida","Bresslaua",NA
"Eukaryota","Archaeplastida","Rhodophyta","Porphyridiophyceae","Porphyridiales","Porphyridiales_X","Porphyridium","Porphyridium_sordidum","Eukaryota","Archaeplastida","Rhodophyta","Porphyridiophyceae","Porphyridiales","Porphyridiales_X","Porphyridium",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Microthamniales","Microthamniales_X","Asterochloris","Asterochloris_erici","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Microthamniales","Microthamniales_X","Asterochloris",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Microthamniales","Microthamniales_X","Asterochloris","Asterochloris_magna","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Microthamniales","Microthamniales_X","Asterochloris",NA
"Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Rhabdocoela","Austradenopharynx","Austradenopharynx_sp.","Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Rhabdocoela","Austradenopharynx",NA
"Eukaryota","Excavata","Discoba","Heterolobosea","Heterolobosea_X","Heterolobosea_XX","Paravahlkampfia","Paravahlkampfia_ustiana","Eukaryota","Excavata","Discoba","Heterolobosea","Heterolobosea_X","Heterolobosea_XX","Paravahlkampfia",NA
"Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-IV","Sticholonche","Sticholonche_sp.","Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-IV","Sticholonche",NA
"Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-II","RAD-B-Group-II_X","RAD-B-Group-II_X_sp.","Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-II",NA,NA
"Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-IV","RAD-B-Group-IV_X","RAD-B-Group-IV_X_sp.","Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-IV",NA,NA
"Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-III","RAD-B-Group-III_X","RAD-B-Group-III_X_sp.","Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B-Group-III",NA,NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Eurcyrtidioidea","Eucyrtidium","Eucyrtidium_hexastichum","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Eurcyrtidioidea","Eucyrtidium",NA
"Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Eurcyrtidioidea","Eucyrtidium","Eucyrtidium_hexagonatum","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Eurcyrtidioidea","Eucyrtidium",NA
